artist,album,art_url,spotify_url
Tara Nome Doyle,Ekko,https://i.scdn.co/image/ab67616d0000b27327dc6a78aa047448f73527de,https://open.spotify.com/album/56wQ1qihMM2JQ839gyfTIp
Daughter of Swords,Alex,https://i.scdn.co/image/ab67616d0000b273f68f739d455cb141828d1137,https://open.spotify.com/album/06Rl64u5FFkmVTpbE1v5CG
Bon Iver,"SABLE, fABLE",https://i.scdn.co/image/ab67616d0000b27330d93b9cce660d4f56770efb,https://open.spotify.com/album/3L3UjpXtom6T0Plt1j6l1T
Painting,Snapshot Of Pure Attention,https://i.scdn.co/image/ab67616d0000b2730ae0db442e40c6e39f115862,https://open.spotify.com/album/5PtTPiugcQ5ceuWFDmWIvq
Valerie June,"Owls, Omens, and Oracles",https://i.scdn.co/image/ab67616d0000b273076efd956cf2fe3fdb8443e9,https://open.spotify.com/album/5K6SF5pgdnfHRnuC4gaC0Q
Joni,Things I Left Behind,https://i.scdn.co/image/ab67616d0000b273f75cd1bfdb6df844a393dbc9,https://open.spotify.com/album/2KxB09tCCgGPO75YeC0new
Tapeworms,Grand Voyage,https://i.scdn.co/image/ab67616d0000b27341dc6966c607a611f7d2b63f,https://open.spotify.com/album/67Zg776IO3i70H2JDk49GG
Jadu Heart,POST HEAVEN,https://i.scdn.co/image/ab67616d0000b273154c08f0bc25e93eee1ed205,https://open.spotify.com/album/10Q8vu699wdZoMggfkCxDV
Cold Specks,Light for the Midnight,https://i.scdn.co/image/ab67616d0000b2737699fa1030b58e5aa8b89301,https://open.spotify.com/album/0t7eL94TWpVkVxVmp6BfLk
Kills Birds,Crave,https://i.scdn.co/image/ab67616d0000b27365616734e79b7833bd537ea3,https://open.spotify.com/album/4M15Xu38GTTM3FviX2gqOu
Public Body,Finger Food,https://i.scdn.co/image/ab67616d0000b2733706ce061f0fd4553127fa2a,https://open.spotify.com/album/47S7JOjtgOzgOSpf0zp34v
Ken Carson,More Chaos,https://i.scdn.co/image/ab67616d0000b273f671667c2782b5d8bdd9a6f1,https://open.spotify.com/album/3tIS7SDlvbyJ0oFQzNqjco
key vs. locket,i felt like a sketch,https://i.scdn.co/image/ab67616d0000b273d5cd0ea97358db7e4f2302e4,https://open.spotify.com/album/2F9SCxkzsUQMU5Iw2aM2Qt
Kwashibu Area Band,Love Warrior’s Anthem,https://i.scdn.co/image/ab67616d0000b2739159f144675c6eee0df2c158,https://open.spotify.com/album/0KPweYkoOG6CL5lg4EVqqn
Casper Skulls,Kit-Cat,https://i.scdn.co/image/ab67616d0000b273256b323a1adb25d840a8b787,https://open.spotify.com/album/0AdKEawfiKOe0E8NJS73G1
Olivia Font,Invictam,https://i.scdn.co/image/ab67616d0000b273c0d94c16b4452585147459ac,https://open.spotify.com/album/7fs7i3DdC5iOcy1vkZ0YLf
Charif Megarbane,Hawalat (Habibi Funk 030) [Bonus Edition],https://i.scdn.co/image/ab67616d0000b273a78dffa28e685102148f89b5,https://open.spotify.com/album/4GLdlHaa7GF37iehYoVJ8h
James Bright,Imaginal,https://i.scdn.co/image/ab67616d0000b27353ec981dcea74f1ee5eb9a40,https://open.spotify.com/album/5vizPw58vcK5k7azYFO1pL
fantasy of a broken heart,Chaos Practitioner,https://i.scdn.co/image/ab67616d0000b273bd368828c2ac12d563f4312b,https://open.spotify.com/album/5Duq1QNcBEZvm84waF19mM
Röyksopp,True Electric,https://i.scdn.co/image/ab67616d0000b2732baa23fd26e9bfa87d1bf128,https://open.spotify.com/album/5dap6sSH3nqhCdSrG9olHp
Magnolia Park,VAMP,https://i.scdn.co/image/ab67616d0000b273678f3d0e0c3b451b33531b13,https://open.spotify.com/album/4bk8MDVLQ78NVnVeAKpe6z
Dead Pioneers,PO$T AMERICAN,https://i.scdn.co/image/ab67616d0000b2731563cf33dd38dad2c18d113d,https://open.spotify.com/album/2gcUPDHYzGcIEKjYHQW8sk
Gerald Clayton,Ones & Twos,https://i.scdn.co/image/ab67616d0000b27377e38a2bcd6277da7cb8b559,https://open.spotify.com/album/4nRENY6OH6RHFGrf1RthCW
"Ben Shirken, Ex Wiish",H.D. Reliquary,https://i.scdn.co/image/ab67616d0000b273227df0b73a59a987d53a6b90,https://open.spotify.com/album/587fZ2ratMRPNs6fd2ef1y
OK Go,And the Adjacent Possible,https://i.scdn.co/image/ab67616d0000b273d4b0d94bc7dfbad8d91484e3,https://open.spotify.com/album/7LdVM3OTajLAz3kMyHLxBH
Mamalarky,Hex Key,https://i.scdn.co/image/ab67616d0000b2738e47bb2318f30354fc560e68,https://open.spotify.com/album/71gvpd2oNaGwGmbqXOk8zk
Speedway,A Life's Refrain,https://i.scdn.co/image/ab67616d0000b2739f8d485ad45ca4a97559238f,https://open.spotify.com/album/7tXcbBdHKw5JwAB1sLC6sL
Turnpike Troubadours,The Price of Admission,https://i.scdn.co/image/ab67616d0000b27352832d5a7ad62e4a7a7455ca,https://open.spotify.com/album/0lMU9le9QkLUKR0VFBwxSq
Bedridden,Moths Strapped To Each Other's Backs,https://i.scdn.co/image/ab67616d0000b27359b07da96ef2a24b61c64fd6,https://open.spotify.com/album/4TGPcFTOcG4ZaXjDtkCV4L
My Raining Stars,Momentum,https://i.scdn.co/image/ab67616d0000b273e1d293e1c70c00cbc9fcc756,https://open.spotify.com/album/6DF1yBTgUn9EyKgWuvOCpD
"LaRussell, Mike G Beatz",MAKE HIP-HOP FUN AGAIN!,https://i.scdn.co/image/ab67616d0000b2732395d6e800b4ee1b9b5dfbc0,https://open.spotify.com/album/3lKyqj1ADu9DfU4DUnjR4A
Jon Pardi,Honkytonk Hollywood,https://i.scdn.co/image/ab67616d0000b273fdbc4e5af05e61ed2a7de2b3,https://open.spotify.com/album/1eDL4Z6TcdCDul9hip9WiS
Jetstream Pony,Bowerbirds and Blue Things,https://i.scdn.co/image/ab67616d0000b2731615ae16a447eb931fe3838b,https://open.spotify.com/album/0gmeJtYpIV3WnUB7lyqE8V
Astels,The Meeting,https://i.scdn.co/image/ab67616d0000b2738b50d810d9bde43e719da0c1,https://open.spotify.com/album/0qhrsVU3Y9k5HV5pGbnxxq
Salif Keita,So Kono,https://i.scdn.co/image/ab67616d0000b273b5cc64a999ded102b5816693,https://open.spotify.com/album/3Kp6AmA5EEW5vKwU8qAJmY
Cassia,"everyone, outside",https://i.scdn.co/image/ab67616d0000b273f28cefa9b375fbd477495f0c,https://open.spotify.com/album/3OTLEJFqyTbgrArD8wYN1S
"Galactic, Irma Thomas",Audience With the Queen,https://i.scdn.co/image/ab67616d0000b273749f2485b364d2259c33a561,https://open.spotify.com/album/5apzPGL9pMN4bLMaNG4pQ6
Idle Heirs,Life is Violence,https://i.scdn.co/image/ab67616d0000b273edbf65a69eef01b3fb773824,https://open.spotify.com/album/0ZzKw2C6e16hOJFCzJ2qCu
Grandmas House,Anything For You,https://i.scdn.co/image/ab67616d0000b273087322638ea862a02d028648,https://open.spotify.com/album/1U9doeeShDxZxHINVULgZr
Trousdale,Growing Pains,https://i.scdn.co/image/ab67616d0000b273cae6d0db04a82a3f4fa24603,https://open.spotify.com/album/34ISREKShXsEfkYLbxExdJ
HONEYMOAN,Pink Hell,https://i.scdn.co/image/ab67616d0000b2736e132d9f3ca2dfca13a931da,https://open.spotify.com/album/55rL0l4dFnyycESlhE91NW
Briain,Cognitive Dissonance,https://i.scdn.co/image/ab67616d0000b273158b959db039d2b2d4519f21,https://open.spotify.com/album/2LfL6g2ia4EBJnLKq5ptuu
Eyedress,Stoner,https://i.scdn.co/image/ab67616d0000b27397fbbaf310b5f5fdcf93038c,https://open.spotify.com/album/57KwrtSpwCgoy1uOg6ssnd
Berner,Carbon,https://i.scdn.co/image/ab67616d0000b273daccbde1932e2a28bccb11a9,https://open.spotify.com/album/1Vju5A1U8srP9uV3RXkigs
Teen Mortgage,Devil Ultrasonic Dream,https://i.scdn.co/image/ab67616d0000b2738532fad382bce70904bc6591,https://open.spotify.com/album/4HJ8nqrbOMnRl9M3rV0kH2
The Wrecks,INSIDE :,https://i.scdn.co/image/ab67616d0000b2733205d33819cfb1b371c12797,https://open.spotify.com/album/7fRksONg2LUzGqXbIMd140
MARK,The Firstfruit - The 1st Album,https://i.scdn.co/image/ab67616d0000b273458a9f340084c41b7959205d,https://open.spotify.com/album/6c3cEkKxXpqpo8vNRWrv8s
Nell Smith,Anxious,https://i.scdn.co/image/ab67616d0000b2737d1c0cf1bdb98a03ab825905,https://open.spotify.com/album/3TnqVllDL3di6RA2owF0m4
Kuunatic,Wheels of Ömon,https://i.scdn.co/image/ab67616d0000b273cc343aec6738594ee0fefa2b,https://open.spotify.com/album/0ddkntr4oolhMq6I3h9YLD
Adja,Golden Retrieve Her,https://i.scdn.co/image/ab67616d0000b27347bd6ef561c9b6671619f831,https://open.spotify.com/album/5gHgxycuCf1hG5sUXRTMxd
The Mars Volta,Lucro sucio; Los ojos del vacio,https://i.scdn.co/image/ab67616d0000b273ef6973ad7311ea686ed82452,https://open.spotify.com/album/0eHXKWp81IW9Hv9pAvuEty
Clutter,Loves You,https://i.scdn.co/image/ab67616d0000b273a9222f7104c046255b62ca33,https://open.spotify.com/album/1qSLu8LDCcSGoSXhza9Kea
