Artist Name,Album,Best Song,Genre,Release Date,Scrobble Score,Total Scrobbles,Avg Per Track,Obsession Score,Prediction Score,Similar Artists,Album Length,Discovery Method,Album Art URL,manual_boost,manual_notes,final_rank_override
Kesha,. (...),BOY CRAZY. (feat. JADE),,2025-07-08,0.0,0,0.0,0.0,0.0,,65.21668333333334,Spotify,,,,
The Minus 5,"Oar On, Penelope!",Words & Birds,"alt country,power pop",2025-05-30,0.0,0,0.0,0.0,0.0,,37.54751666666667,Spotify,,,,
Yo La Tengo,Old Joy,Path to Springs,"dream pop,slowcore",2025-02-28,0.0,0,0.0,0.0,0.0,,25.933333333333334,Spotify,,,,
Matt Embree,Orion,Summer House Savior,,2025-03-07,0.0,0,0.0,0.0,0.0,,27.104166666666668,Spotify,,,,
Trapper Schoepp,Osborne,Loaded,americana,2025-09-19,0.0,0,0.0,0.0,0.0,,39.69728333333333,Spotify,,,,
Morgan Saint,Out Of The Blue,Did You Lose Your Heart,,2025-02-14,0.0,0,0.0,0.0,0.0,,35.05683333333333,Spotify,,,,
MARINA,PRINCESS OF POWER,CUNTISSIMO,,2025-06-06,0.0,0,0.0,0.0,0.0,,47.75735,Spotify,,,,
Ruston Kelly,"Pale, Through the Window",Me and You,"americana,alt country",2025-09-12,0.0,0,0.0,0.0,0.0,,48.5284,Spotify,,,,
Great Grandpa,"Patience, Moonbeam",Junior,indie punk,2025-03-28,0.0,0,0.0,0.0,0.0,,38.32615,Spotify,,,,
Sam Fender,People Watching,People Watching,,2025-02-21,0.0,0,0.0,0.0,0.0,,48.540616666666665,Spotify,,,,
Horsegirl,Phonetics On and On,Switch Over,lo-fi indie,2025-02-14,0.0,0,0.0,0.0,0.0,,37.78828333333333,Spotify,,,,
S.G. Goodman,Planting by the Signs,Fire Sign,"southern gothic,alt country",2025-06-20,0.0,0,0.0,0.0,0.0,,48.11885,Spotify,,,,
Small Shake,Platonics,Historical Event,,2025-08-22,0.0,0,0.0,0.0,0.0,,19.44923333333333,Spotify,,,,
MØ,Plæygirl,Keep Møving,,2025-05-16,0.0,0,0.0,0.0,0.0,,35.51238333333333,Spotify,,,,
Indigo De Souza,Precipice,Crush,,2025-07-25,0.0,0,0.0,0.0,0.0,,31.722933333333334,Spotify,,,,
Big Freedia,Pressing Onward,Celebration (feat. Dawn Richard),"new orleans bounce,bounce,ballroom vogue",2025-08-08,0.0,0,0.0,0.0,0.0,,41.19155,Spotify,,,,
Amber Mark,Pretty Idea,Don't Remind Me (with Anderson .Paak),"alternative r&b,indie soul",2025-10-10,0.0,0,0.0,0.0,0.0,,36.98956666666667,Spotify,,,,
We Are Scientists,Qualifying Miles,The Big One,indie rock,2025-07-18,0.0,0,0.0,0.0,0.0,,42.71305,Spotify,,,,
Cola Boyy,Quit to Play Chess,Babylon,,2025-05-23,0.0,0,0.0,0.0,0.0,,35.93091666666667,Spotify,,,,
Salin,Rammana,Egungun,,2025-03-28,0.0,0,0.0,0.0,0.0,,34.576116666666664,Spotify,,,,
Youth Lagoon,Rarely Do I Dream,Football,"dream pop,chillwave",2025-02-21,0.0,0,0.0,0.0,0.0,,42.42865,Spotify,,,,
Hotline TNT,Raspberry Moon,The Scene,shoegaze,2025-06-20,0.0,0,0.0,0.0,0.0,,35.44125,Spotify,,,,
Neal Francis;Say She She,Return To Zero,Need You Again (feat. Say She She),retro soul,2025-03-14,0.0,0,0.0,0.0,0.0,,42.36638333333333,Spotify,,,,
The Knocks;Dragonette,Revelation,Love Me Alive,"nu disco,alternative dance",2025-06-06,0.0,0,0.0,0.0,0.0,,28.41261666666667,Spotify,,,,
Cuco,Ridin',ICNBYH,bedroom pop,2025-05-09,0.0,0,0.0,0.0,0.0,,39.71641666666667,Spotify,,,,
Matilda Mann,Roxwell,Everything I'm Not,,2025-02-28,0.0,0,0.0,0.0,0.0,,39.71875,Spotify,,,,
JENNIE;FKJ,Ruby,Seoul City,k-pop,2025-03-05,0.0,0,0.0,0.0,0.0,,39.0971,Spotify,,,,
Bon Iver,"SABLE, fABLE",S P E Y S I D E,,2025-04-11,0.0,0,0.0,0.0,0.0,,41.69885,Spotify,,,,
John K,SALT + LIGHT,Broken,,2025-07-18,0.0,0,0.0,0.0,0.0,,36.192,Spotify,,,,
Cavetown,SONGS I LIKE IN 2025,remember you,bedroom pop,2025-03-14,0.0,0,0.0,0.0,0.0,,15.158666666666669,Spotify,,,,
Chance the Rapper,STAR LINE,Drapetomania (feat. BabyChiefDoit),,2025-08-15,0.0,0,0.0,0.0,0.0,,67.95225,Spotify,,,,
Neil Young,Oceanside Countryside,Sail Away,"classic rock,folk rock,singer-songwriter,roots rock",2025-03-07,0.0,0,0.0,0.0,0.0,,38.216,Spotify,,,,
Empty Heaven,Now I'm Laughing Again,Nonplussed,spoken word,2025-03-14,0.0,0,0.0,0.0,0.0,,28.77168333333333,Spotify,,,,
Justin Bieber,SWAG,DAISIES,,2025-07-11,0.0,0,0.0,0.0,0.0,,54.34921666666666,Spotify,,,,
SYML,Nobody Lives Here,Heavy Hearts,,2025-04-04,0.0,0,0.0,0.0,0.0,,32.55005,Spotify,,,,
Career Woman,Lighthouse,Piano Song,,2025-06-06,0.0,0,0.0,0.0,0.0,,35.7659,Spotify,,,,
Ball Park Music,Like Love,Please Don't Move To Melbourne,,2025-04-04,0.0,0,0.0,0.0,0.0,,39.77088333333333,Spotify,,,,
Gordi,Like Plasticine,Peripheral Lover,,2025-08-08,0.0,0,0.0,0.0,0.0,,40.8995,Spotify,,,,
Rachel Chinouriri,Little House,What A Life,,2025-09-12,0.0,0,0.0,0.0,0.0,,17.132916666666667,Spotify,,,,
Joey Bada$$,Lonely At The Top,HIGHROLLER (feat. A$AP Ferg & Kelz2busy),"hip hop,rap",2025-08-29,0.0,0,0.0,0.0,0.0,,39.56908333333333,Spotify,,,,
Charles Wesley Godwin,Lonely Mountain Town,Lonely Mountain Town,"red dirt,country",2025-02-28,0.0,0,0.0,0.0,0.0,,26.498383333333333,Spotify,,,,
Brett Eldredge,Lonestar Lovers,Lonestar Lovers,"country,christmas",2025-03-14,0.0,0,0.0,0.0,0.0,,15.975533333333331,Spotify,,,,
Ian M Bailey,Lost In A Sound,Deep Blue Water,"power pop,jangle pop",2025-03-14,0.0,0,0.0,0.0,0.0,,41.14046666666667,Spotify,,,,
Little Simz,Lotus,Free,,2025-06-06,0.0,0,0.0,0.0,0.0,,49.92555,Spotify,,,,
Chloe Slater,Love Me Please,Sucker,,2025-02-04,0.0,0,0.0,0.0,0.0,,14.527216666666666,Spotify,,,,
kendall lujan,Lucky Penny,How Ya Doin',,2025-02-21,0.0,0,0.0,0.0,0.0,,34.32415,Spotify,,,,
Courting,"Lust for Life, Or: 'How To Thread The Needle And Come Out The Other Side To Tell The Story'",After You,post-punk,2025-03-14,0.0,0,0.0,0.0,0.0,,25.67438333333333,Spotify,,,,
KALEO,MIXED EMOTIONS,Bloodline,,2025-05-09,0.0,0,0.0,0.0,0.0,,42.17425,Spotify,,,,
Homeboy Sandman;Brand The Builder,Manners,Artillery,"east coast hip hop,underground hip hop,alternative hip hop",2025-05-16,0.0,0,0.0,0.0,0.0,,11.016666666666667,Spotify,,,,
The Lathums,Matter Does Not Define,Heartbreaker,,2025-02-28,0.0,0,0.0,0.0,0.0,,85.31413333333333,Spotify,,,,
Eem Triplin,Melody Of A Memory,MISS ME?,,2025-02-17,0.0,0,0.0,0.0,0.0,,35.477916666666665,Spotify,,,,
Michigander,Michigander,I'll Be OK,,2025-02-07,0.0,0,0.0,0.0,0.0,,41.59356666666667,Spotify,,,,
Cheekface,Middle Spoon,Living Lo-Fi,,2025-02-25,0.0,0,0.0,0.0,0.0,,66.02593333333333,Spotify,,,,
Zara Larsson,Midnight Sun,Hot & Sexy,,2025-09-26,0.0,0,0.0,0.0,0.0,,31.97485,Spotify,,,,
Barry Hyde,Miners' Ballads,Last Dance (at the Landlord's Ball),,2025-03-21,0.0,0,0.0,0.0,0.0,,37.56371666666666,Spotify,,,,
Cut Copy,Moments,Belong To You,"alternative dance,indie dance,indie electronic,new rave",2025-09-05,0.0,0,0.0,0.0,0.0,,46.71808333333333,Spotify,,,,
Bedrooms;Fried Monk,Monkrooms,Barrel Roll,,2025-02-28,0.0,0,0.0,0.0,0.0,,19.79823333333333,Spotify,,,,
Sunflower Bean,Mortal Primetime,Nothing Romantic,,2025-04-25,0.0,0,0.0,0.0,0.0,,35.28516666666667,Spotify,,,,
Turnstile,NEVER ENOUGH,I CARE,"hardcore punk,hardcore",2025-06-06,0.0,0,0.0,0.0,0.0,,45.2355,Spotify,,,,
Adult Mom,Natural Causes,Door Is Your Hand,riot grrrl,2025-05-09,0.0,0,0.0,0.0,0.0,,30.935616666666668,Spotify,,,,
Neko Case,Neon Grey Midnight Green,Destination,"alt country,southern gothic,americana",2025-09-26,0.0,0,0.0,0.0,0.0,,47.26938333333333,Spotify,,,,
Pale Blue Eyes,New Place,The Dreamer,,2025-03-07,0.0,0,0.0,0.0,0.0,,43.7052,Spotify,,,,
illuminati hotties,Nickel on the Fountain Floor,Skateboard Tattoo,riot grrrl,2025-05-30,0.0,0,0.0,0.0,0.0,,14.644416666666666,Spotify,,,,
The Beaches,No Hard Feelings,Can I Call You in the Morning?,,2025-08-29,0.0,0,0.0,0.0,0.0,,34.19873333333334,Spotify,,,,
Dev Lemons,SURFACE TENSION,NICE TRY,"hyperpop,bedroom pop",2025-08-01,0.0,0,0.0,0.0,0.0,,21.895616666666665,Spotify,,,,
Kameron Marlowe,Sad Songs for the Soul,Burning House,country,2025-02-21,0.0,0,0.0,0.0,0.0,,37.08505,Spotify,,,,
Polo & Pan,22:22,Petite Etoile,"french indie pop,french house",2025-03-28,0.0,0,0.0,0.0,0.0,,48.96483333333333,Spotify,,,,
Petey USA,The Yips,Ask Someone Else,,2025-07-11,0.0,0,0.0,0.0,0.0,,46.23591666666667,Spotify,,,,
Hamilton Leithauser,This Side of the Island,Knockin' Heart,,2025-03-07,0.0,0,0.0,0.0,0.0,,30.06703333333333,Spotify,,,,
Vincent Lima,To Love A Thing That Fades,Orpheus,folk pop,2025-09-19,0.0,0,0.0,0.0,0.0,,55.39225,Spotify,,,,
Ivy,Traces of You,Mystery Girl,,2025-09-05,0.0,0,0.0,0.0,0.0,,40.4653,Spotify,,,,
Beach Bunny,Tunnel Vision,Vertigo,,2025-04-25,0.0,0,0.0,0.0,0.0,,29.817,Spotify,,,,
Wet,Two Lives,My Everything,,2025-04-04,0.0,0,0.0,0.0,0.0,,33.98351666666667,Spotify,,,,
Floodlights,Underneath,The Light Won't Shine Forever,,2025-03-21,0.0,0,0.0,0.0,0.0,,89.93026666666667,Spotify,,,,
d4vd,WITHERED,Feel It,,2025-04-25,0.0,0,0.0,0.0,0.0,,48.87583333333333,Spotify,,,,
BETWEEN FRIENDS,WOW!,JAM !,,2025-08-01,0.0,0,0.0,0.0,0.0,,34.99328333333333,Spotify,,,,
Esther Rose,Want,Want,"alt country,americana",2025-05-02,0.0,0,0.0,0.0,0.0,,43.6717,Spotify,,,,
Runaway Brother,Want You Need,Bear the Bird,midwest emo,2025-02-27,0.0,0,0.0,0.0,0.0,,32.10431666666667,Spotify,,,,
Mobley,We Do Not Fear Ruins,No Exit,,2025-04-23,0.0,0,0.0,0.0,0.0,,45.97625,Spotify,,,,
Momma,Welcome to My Blue Sky,I Want You (Fever),indie rock,2025-04-04,0.0,0,0.0,0.0,0.0,,39.44606666666667,Spotify,,,,
M Ross Perkins,"What's the Matter, M Ross?",Spiritual Kick,,2025-05-02,0.0,0,0.0,0.0,0.0,,40.01963333333333,Spotify,,,,
Somebody's Child,When Youth Fades Away,Last Night I Held Your Hand,,2025-03-28,0.0,0,0.0,0.0,0.0,,41.60525,Spotify,,,,
Daffo,Where the Earth Bends,Carrot Fingers,,2025-09-26,0.0,0,0.0,0.0,0.0,,34.60901666666667,Spotify,,,,
Chris Crack,White People Think God Left Them In Charge,Don't Ever Wear Khakis To My Mom Birthday,"boom bap,experimental hip hop",2025-07-31,0.0,0,0.0,0.0,0.0,,23.5532,Spotify,,,,
Jade Bird,Who Wants to Talk About Love?,Save Your Tears,folk pop,2025-07-18,0.0,0,0.0,0.0,0.0,,30.542,Spotify,,,,
PUP,Who Will Look After The Dogs?,Hallways,"midwest emo,indie punk,emo,punk",2025-05-02,0.0,0,0.0,0.0,0.0,,35.835766666666665,Spotify,,,,
Big Wild,Wild Child,Stardust,,2025-08-29,0.0,0,0.0,0.0,0.0,,49.32986666666667,Spotify,,,,
I'm With Her;Sarah Jarosz;Aoife O'Donovan;Sara Watkins,Wild and Clear and Blue,Ancient Light,"bluegrass,newgrass,indie folk,americana,folk",2025-05-09,0.0,0,0.0,0.0,0.0,,41.25463333333333,Spotify,,,,
ILLIT,bomb,Billyeoon Goyangi (Do the Dance),k-pop,2025-06-16,0.0,0,0.0,0.0,0.0,,13.368233333333333,Spotify,,,,
Sofi Tukker;Silva,butter,Intensity,"nova mpb,mpb,brazilian pop",2025-05-16,0.0,0,0.0,0.0,0.0,,41.19138333333333,Spotify,,,,
corook,committed to a bit,blankets,,2025-02-28,0.0,0,0.0,0.0,0.0,,41.16666666666666,Spotify,,,,
MEGGO,eavesdropper ;; death stories,sylvia's place ;; tricks,,2025-01-22,0.0,0,0.0,0.0,0.0,,15.506333333333334,Spotify,,,,
bob junior;Dent May,"friends, vol. 2",ISSUE,,2025-05-23,0.0,0,0.0,0.0,0.0,,44.70641666666667,Spotify,,,,
salem ilese,growing down,dirty martini,,2025-06-13,0.0,0,0.0,0.0,0.0,,20.20665,Spotify,,,,
Hazlett,last night you said you missed me,doing my best,indie folk,2025-09-12,0.0,0,0.0,0.0,0.0,,36.3727,Spotify,,,,
Wet Leg,moisturizer,mangetout,"indie rock,indie",2025-07-11,0.0,0,0.0,0.0,0.0,,38.46615,Spotify,,,,
Kina Grannis;Imaginary Future;people i like;Mree;Henri Bardot,people i like,talk me down,"acoustic pop,folk pop,ambient folk",2025-02-07,0.0,0,0.0,0.0,0.0,,31.15723333333333,Spotify,,,,
Arm's Length,There's A Whole World Out There,You Ominously End,"midwest emo,pop punk,emo",2025-05-16,0.0,0,0.0,0.0,0.0,,46.5429,Spotify,,,,
Taylor Rae,The Void,The Void,,2025-04-18,0.0,0,0.0,0.0,0.0,,5.497616666666667,Spotify,,,,
Dumb Things,Self Help,Windows and Doors,"jangle pop,power pop",2025-04-04,0.0,0,0.0,0.0,0.0,,35.0833,Spotify,,,,
Franz Ferdinand,The Human Fear,Night Or Day,indie rock,2025-01-10,0.0,0,0.0,0.0,0.0,,35.3338,Spotify,,,,
Julien Baker;TORRES,Send A Prayer My Way,Sugar in the Tank,"ambient folk,art pop",2025-04-18,0.0,0,0.0,0.0,0.0,,39.70641666666667,Spotify,,,,
Sharon Van Etten,Sharon Van Etten & The Attachment Theory,Afterlife,,2025-02-07,0.0,0,0.0,0.0,0.0,,45.8377,Spotify,,,,
Subsonic Eye,Singapore Dreaming,Why Am I Here,"shoegaze,dream pop",2025-06-11,0.0,0,0.0,0.0,0.0,,60.57086666666667,Spotify,,,,
Panda Bear,Sinister Grift,Praise,neo-psychedelic,2025-02-28,0.0,0,0.0,0.0,0.0,,44.73336666666667,Spotify,,,,
Miles Caton;DC6 Singers Collective;Pleasant Valley Youth Choir of New Orleans;Lynette Williams;Sinners Movie,Sinners (Original Motion Picture Soundtrack),Rocky Road to Dublin,southern gothic,2025-04-18,0.0,0,0.0,0.0,0.0,,72.12676666666667,Spotify,,,,
Painting,Snapshot Of Pure Attention,White On White,,2025-04-11,0.0,0,0.0,0.0,0.0,,35.7796,Spotify,,,,
Tyler Childers,Snipe Hunter,Bitin' List,"country,outlaw country,red dirt,alt country,texas country,bluegrass",2025-07-25,0.0,0,0.0,0.0,0.0,,53.99215,Spotify,,,,
Adwaith,Solas,MWY,,2025-02-07,0.0,0,0.0,0.0,0.0,,75.61573333333334,Spotify,,,,
Homeboy Sandman;Sonnyjim,Soli Deo Gloria,Most Realest,"east coast hip hop,underground hip hop,alternative hip hop",2025-07-24,0.0,0,0.0,0.0,0.0,,38.97128333333333,Spotify,,,,
Jens Lekman,Songs for Other People's Weddings,The First Lovesong,"baroque pop,swedish pop",2025-09-12,0.0,0,0.0,0.0,0.0,,80.23346666666667,Spotify,,,,
Old Pup,Spider Towns,Spider Towns,alt country,2025-03-05,0.0,0,0.0,0.0,0.0,,81.51626666666667,Spotify,,,,
The Chills,Spring Board: The Early Unrecorded Songs,If This World Was Made For Me,jangle pop,2025-02-28,0.0,0,0.0,0.0,0.0,,70.65365,Spotify,,,,
St. Paul & The Broken Bones,St. Paul & The Broken Bones,Ooo-Wee,retro soul,2025-10-10,0.0,0,0.0,0.0,0.0,,34.557383333333334,Spotify,,,,
Estelle,Stay Alta,Stay Alta,,2025-05-23,0.0,0,0.0,0.0,0.0,,50.76016666666667,Spotify,,,,
The Beths,Straight Line Was A Lie,Straight Line Was A Lie,"indie rock,power pop",2025-08-29,0.0,0,0.0,0.0,0.0,,43.71328333333334,Spotify,,,,
Annie DiRusso,Super Pedestrian,Legs,,2025-03-07,0.0,0,0.0,0.0,0.0,,33.99633333333333,Spotify,,,,
Vundabar,Surgery and Pleasure,Beta Fish,,2025-03-07,0.0,0,0.0,0.0,0.0,,39.95476666666666,Spotify,,,,
Sir Chloe,Swallow the Knife,Kiss,,2025-08-22,0.0,0,0.0,0.0,0.0,,31.84323333333333,Spotify,,,,
girlpuppy,Sweetness,I Just Do!,,2025-03-28,0.0,0,0.0,0.0,0.0,,32.07971666666667,Spotify,,,,
Yellow Ostrich,TRYING,American Spirits,,2025-09-12,0.0,0,0.0,0.0,0.0,,46.88016666666667,Spotify,,,,
Peel Dream Magazine,Taurus,Venus In Nadir,"shoegaze,dream pop",2025-10-01,0.0,0,0.0,0.0,0.0,,23.308966666666667,Spotify,,,,
Joshua Burnside,Teeth of Time,Up and Down,"southern gothic,indie folk",2025-02-28,0.0,0,0.0,0.0,0.0,,39.43395,Spotify,,,,
Ashley Monroe;T Bone Burnett,Tennessee Lightning,Moth,"country,roots rock,americana",2025-08-08,0.0,0,0.0,0.0,0.0,,61.92146666666667,Spotify,,,,
Matt Pond PA,The Ballad Of The Natural Lines,Those Wings,,2025-02-07,0.0,0,0.0,0.0,0.0,,42.34591666666667,Spotify,,,,
Adam Melchor,The Diary of Living,Room On Your Shoulder,,2025-05-02,0.0,0,0.0,0.0,0.0,,30.638033333333333,Spotify,,,,
The Favors;FINNEAS;Ashe,The Dream,Home Sweet Home,,2025-09-19,0.0,0,0.0,0.0,0.0,,38.24848333333333,Spotify,,,,
Jeffrey Lewis,The EVEN MORE Freewheelin' Jeffrey Lewis,Do What Comes Natural,"anti-folk,folk punk",2025-03-21,0.0,0,0.0,0.0,0.0,,82.79293333333334,Spotify,,,,
Margaret Glaspy;Madison Cunningham,The Golden Heart Protector,These Days (with James Bay),,2025-09-12,0.0,0,0.0,0.0,0.0,,26.387316666666667,Spotify,,,,
